tamil,brahmi
உதணால் கடிந்தான் உளன்,𑀉𑀢𑀡𑀸𑀮𑀺 𑀓𑀝𑀺𑀦𑀺𑀢𑀸𑀦𑁆𑀦𑀺 𑀉𑀴𑀦𑁆𑀦𑀺
சாந்தம் எறிந்துழுத சாரல் சிறுதினைச்,𑀘𑀸𑀦𑀺𑀢𑀫𑀺 𑀏𑀭𑁆𑀭𑀺𑀦𑀺𑀢𑀼𑀰𑀼𑀢 𑀘𑀸𑀭𑀮𑀺 𑀘𑀺𑀭𑁆𑀭𑀼𑀢𑀺𑀦𑁆𑀦𑁄𑀘𑀺
சாந்தம் எறிந்த இதண்மிசைச் சாந்தம்,𑀘𑀸𑀦𑀺𑀢𑀫𑀺 𑀏𑀭𑁆𑀭𑀺𑀦𑀺𑀢 𑀇𑀢𑀡𑀺𑀫𑀺𑀘𑁄𑀘𑀺 𑀘𑀸𑀦𑀺𑀢𑀫𑀺
கமழக் கிளிகடியும் கார்மயில் அன்னாள்,𑀓𑀫𑀰𑀓𑀺 𑀓𑀺𑀴𑀺𑀓𑀝𑀺𑀬𑀼𑀫𑀺 𑀓𑀸𑀭𑀺𑀫𑀬𑀺𑀮𑀺 𑀅𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀸𑀴𑀺
இமிழக் கிளியழா ஆர்த்து,𑀇𑀫𑀺𑀰𑀓𑀺 𑀓𑀺𑀴𑀺𑀬𑀰𑀸 𑀆𑀭𑀺𑀢𑀺𑀢𑀼
கோடா புகழ்மாறன் கூடல் அனையாளை,𑀓𑁆𑀝𑀸 𑀧𑀼𑀓𑀰𑀺𑀫𑀸𑀭𑁆𑀭𑀦𑁆𑀦𑀺 𑀓𑀽𑀝𑀮𑀺 𑀅𑀦𑁆𑀦𑁄𑀬𑀸𑀴𑁄
ஆடா அடகினும் காணேன்போர் வாடாக்,𑀆𑀝𑀸 𑀅𑀝𑀓𑀺𑀦𑁆𑀦𑀼𑀫𑀺 𑀓𑀸𑀡𑁃𑀦𑁆𑀦𑀺𑀧𑁆𑀭𑀺 𑀯𑀸𑀝𑀸𑀓𑀺
கருங்கொல்வேல் மன்னர் கலம்புக்க கொல்லோ,𑀓𑀭𑀼𑀗𑀺𑀓𑁅𑀮𑀺𑀯𑁃𑀮𑀺 𑀫𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀭𑀺 𑀓𑀮𑀫𑀺𑀧𑀼𑀓𑀺𑀓 𑀓𑁅𑀮𑀺𑀮𑁆
மருங்குல்கொம் பன்னாள் மயிர்,𑀫𑀭𑀼𑀗𑀺𑀓𑀼𑀮𑀺𑀓𑁅𑀫𑀺 𑀧𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀸𑀴𑀺 𑀫𑀬𑀺𑀭𑀺
வினைவிளையச் செல்வம் விளைவதுபோல் நீடாப்,𑀯𑀺𑀦𑁆𑀦𑁄𑀯𑀺𑀴𑁄𑀬𑀘𑀺 𑀘𑁂𑀮𑀺𑀯𑀫𑀺 𑀯𑀺𑀴𑁄𑀯𑀢𑀼𑀧𑁆𑀮𑀺 𑀦𑀻𑀝𑀸𑀧𑀺
பனைவிளைவு நாமெண்ணப் பாத்தித் தினைவிளைய,𑀧𑀦𑁆𑀦𑁄𑀯𑀺𑀴𑁄𑀯𑀼 𑀦𑀸𑀫𑁂𑀡𑀺𑀡𑀧𑀺 𑀧𑀸𑀢𑀺𑀢𑀺𑀢𑀺 𑀢𑀺𑀦𑁆𑀦𑁄𑀯𑀺𑀴𑁄𑀬
மையார் தடங்கண் மயிலன்னாய் தீத்தீண்டு,𑀫𑁄𑀬𑀸𑀭𑀺 𑀢𑀝𑀗𑀺𑀓𑀡𑀺 𑀫𑀬𑀺𑀮𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀸𑀬𑀺 𑀢𑀻𑀢𑀺𑀢𑀻𑀡𑀺𑀝𑀼
கையார் பிரிவித்தல் காண்,𑀓𑁄𑀬𑀸𑀭𑀺 𑀧𑀺𑀭𑀺𑀯𑀺𑀢𑀺𑀢𑀮𑀺 𑀓𑀸𑀡𑀺
மானீல மாண்ட துகில்உமிழ்வது ஒத்தருவி,𑀫𑀸𑀦𑁆𑀦𑀻𑀮 𑀫𑀸𑀡𑀺𑀝 𑀢𑀼𑀓𑀺𑀮𑀺𑀉𑀫𑀺𑀰𑀺𑀯𑀢𑀼 𑀒𑀢𑀺𑀢𑀭𑀼𑀯𑀺
மானீல மால்வரை நாட கேள் மாநீலம்,𑀫𑀸𑀦𑁆𑀦𑀻𑀮 𑀫𑀸𑀮𑀺𑀯𑀭𑁄 𑀦𑀸𑀝 𑀓𑁃𑀴𑀺 𑀫𑀸𑀦𑀻𑀮𑀫𑀺
காயும்வேற் கண்ணாள் கனையிருளின் நீவர,𑀓𑀸𑀬𑀼𑀫𑀺𑀯𑁃𑀭𑁆𑀭𑀺 𑀓𑀡𑀺𑀡𑀸𑀴𑀺 𑀓𑀦𑁆𑀦𑁄𑀬𑀺𑀭𑀼𑀴𑀺𑀦𑁆𑀦𑀺 𑀦𑀻𑀯𑀭
ஆயுமோ மன்றநீ ஆய்,𑀆𑀬𑀼𑀫𑁆 𑀫𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀦𑀻 𑀆𑀬𑀺
கறிவளர்பூஞ் சாரல் கைந்நாகம் பார்த்து,𑀓𑀭𑁆𑀭𑀺𑀯𑀴𑀭𑀺𑀧𑀽𑀜𑀺 𑀘𑀸𑀭𑀮𑀺 𑀓𑁄𑀦𑀺𑀦𑀸𑀓𑀫𑀺 𑀧𑀸𑀭𑀺𑀢𑀺𑀢𑀼
நெறிவளர் நீள்வேங்கை கொட்கும் முறிவளர்,𑀦𑁂𑀭𑁆𑀭𑀺𑀯𑀴𑀭𑀺 𑀦𑀻𑀴𑀺𑀯𑁃𑀗𑀺𑀓𑁄 𑀓𑁅𑀝𑀺𑀓𑀼𑀫𑀺 𑀫𑀼𑀭𑁆𑀭𑀺𑀯𑀴𑀭𑀺
நன்மலை நாட இரவரின் வாழாளால்,𑀦𑀦𑁆𑀦𑀺𑀫𑀮𑁄 𑀦𑀸𑀝 𑀇𑀭𑀯𑀭𑀺𑀦𑁆𑀦𑀺 𑀯𑀸𑀰𑀸𑀴𑀸𑀮𑀺
நன்மலை நாடன் மகள்,𑀦𑀦𑁆𑀦𑀺𑀫𑀮𑁄 𑀦𑀸𑀝𑀦𑁆𑀦𑀺 𑀫𑀓𑀴𑀺
அவட்காயின் ஐவனம் காவல் அமைந்தது,𑀅𑀯𑀝𑀺𑀓𑀸𑀬𑀺𑀦𑁆𑀦𑀺 𑀑𑀯𑀦𑁆𑀦𑀫𑀺 𑀓𑀸𑀯𑀮𑀺 𑀅𑀫𑁄𑀦𑀺𑀢𑀢𑀼
இவட்காயின் செந்தினைகார் ஏனல் இவட்காயின்,𑀇𑀯𑀝𑀺𑀓𑀸𑀬𑀺𑀦𑁆𑀦𑀺 𑀘𑁂𑀦𑀺𑀢𑀺𑀦𑁆𑀦𑁄𑀓𑀸𑀭𑀺 𑀐𑀦𑁆𑀦𑀮𑀺 𑀇𑀯𑀝𑀺𑀓𑀸𑀬𑀺𑀦𑁆𑀦𑀺
எண்ணுளவால் ஐந்திரண்டு ஈத்தான்கொல் என்னாங்கொல்,𑀏𑀡𑀺𑀡𑀼𑀴𑀯𑀸𑀮𑀺 𑀑𑀦𑀺𑀢𑀺𑀭𑀡𑀺𑀝𑀼 𑀈𑀢𑀺𑀢𑀸𑀦𑁆𑀦𑀺𑀓𑁅𑀮𑀺 𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀸𑀗𑀺𑀓𑁅𑀮𑀺
கண்ணுளவால் காமன் கணை,𑀓𑀡𑀺𑀡𑀼𑀴𑀯𑀸𑀮𑀺 𑀓𑀸𑀫𑀦𑁆𑀦𑀺 𑀓𑀡𑁄
வஞ்சமே என்னும் வகைத்தாலோர் மாவினாய்த்,𑀯𑀜𑀺𑀘𑀫𑁃 𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀼𑀫𑀺 𑀯𑀓𑁄𑀢𑀺𑀢𑀸𑀮𑁆𑀭𑀺 𑀫𑀸𑀯𑀺𑀦𑁆𑀦𑀸𑀬𑀺𑀢𑀺
தஞ்சம் தமியனாய்ச் சென்றேன்என் நெஞ்சை,𑀢𑀜𑀺𑀘𑀫𑀺 𑀢𑀫𑀺𑀬𑀦𑁆𑀦𑀸𑀬𑀺𑀘𑀺 𑀘𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑁃𑀦𑁆𑀦𑀺𑀏𑀦𑁆𑀦𑀺 𑀦𑁂𑀜𑀺𑀘𑁄
நலங்கொண்டார் பூங்குழலாள் நன்றாயத்து அன்றுஎன்,𑀦𑀮𑀗𑀺𑀓𑁅𑀡𑀺𑀝𑀸𑀭𑀺 𑀧𑀽𑀗𑀺𑀓𑀼𑀰𑀮𑀸𑀴𑀺 𑀦𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀬𑀢𑀺𑀢𑀼 𑀅𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼𑀏𑀦𑁆𑀦𑀺
வலங்கொண்டாள் கொண்டாள் இடம்,𑀯𑀮𑀗𑀺𑀓𑁅𑀡𑀺𑀝𑀸𑀴𑀺 𑀓𑁅𑀡𑀺𑀝𑀸𑀴𑀺 𑀇𑀝𑀫𑀺
கருவிரல் செம்முகம் வெண்பல்சூல் மந்தி,𑀓𑀭𑀼𑀯𑀺𑀭𑀮𑀺 𑀘𑁂𑀫𑀺𑀫𑀼𑀓𑀫𑀺 𑀯𑁂𑀡𑀺𑀧𑀮𑀺𑀘𑀽𑀮𑀺 𑀫𑀦𑀺𑀢𑀺
பருவிரலால் பைஞ்சுனைநீர் தூஉய்ப் பெருவரைமேல்,𑀧𑀭𑀼𑀯𑀺𑀭𑀮𑀸𑀮𑀺 𑀧𑁄𑀜𑀺𑀘𑀼𑀦𑁆𑀦𑁄𑀦𑀻𑀭𑀺 𑀢𑀽𑀉𑀬𑀺𑀧𑀺 𑀧𑁂𑀭𑀼𑀯𑀭𑁄𑀫𑁃𑀮𑀺
தேன்வார்க்கு ஓக்கும் மலை நாட வாரலோ,𑀢𑁃𑀦𑁆𑀦𑀺𑀯𑀸𑀭𑀺𑀓𑀺𑀓𑀼 𑀓𑀓𑀺𑀓𑀼𑀫𑀺 𑀫𑀮𑁄 𑀦𑀸𑀝 𑀯𑀸𑀭𑀮𑁆
வான்தேவர் கொட்கும் வழி,𑀯𑀸𑀦𑁆𑀦𑀺𑀢𑁃𑀯𑀭𑀺 𑀓𑁅𑀝𑀺𑀓𑀼𑀫𑀺 𑀯𑀰𑀺
கரவில் வளமலைக் கல்லருவி நாட,𑀓𑀭𑀯𑀺𑀮𑀺 𑀯𑀴𑀫𑀮𑁄𑀓𑀺 𑀓𑀮𑀺𑀮𑀭𑀼𑀯𑀺 𑀦𑀸𑀝
உரவில் வலியா ஒரு நீ இரவின்,𑀉𑀭𑀯𑀺𑀮𑀺 𑀯𑀮𑀺𑀬𑀸 𑀒𑀭𑀼 𑀦𑀻 𑀇𑀭𑀯𑀺𑀦𑁆𑀦𑀺
வழிகள்தாம் சால வரஅரிய வாரல்,𑀯𑀰𑀺𑀓𑀴𑀺𑀢𑀸𑀫𑀺 𑀘𑀸𑀮 𑀯𑀭𑀅𑀭𑀺𑀬 𑀯𑀸𑀭𑀮𑀺
இழிகடா யானை எதிர்,𑀇𑀰𑀺𑀓𑀝𑀸 𑀬𑀸𑀦𑁆𑀦𑁄 𑀏𑀢𑀺𑀭𑀺
வேலனார் போக மறிவிடுக்க வேரியும்,𑀯𑁃𑀮𑀦𑁆𑀦𑀸𑀭𑀺 𑀧𑁆𑀓 𑀫𑀭𑁆𑀭𑀺𑀯𑀺𑀝𑀼𑀓𑀺𑀓 𑀯𑁃𑀭𑀺𑀬𑀼𑀫𑀺
பாலனார்க்கு ஈக பழியிலாள் பாலால்,𑀧𑀸𑀮𑀦𑁆𑀦𑀸𑀭𑀺𑀓𑀺𑀓𑀼 𑀈𑀓 𑀧𑀰𑀺𑀬𑀺𑀮𑀸𑀴𑀺 𑀧𑀸𑀮𑀸𑀮𑀺
கடும்புனலின் நீந்திக் கரைவைத்தாற்கு அல்லால்,𑀓𑀝𑀼𑀫𑀺𑀧𑀼𑀦𑁆𑀦𑀮𑀺𑀦𑁆𑀦𑀺 𑀦𑀻𑀦𑀺𑀢𑀺𑀓𑀺 𑀓𑀭𑁄𑀯𑁄𑀢𑀺𑀢𑀸𑀭𑁆𑀭𑀺𑀓𑀼 𑀅𑀮𑀺𑀮𑀸𑀮𑀺
நெடும்பனைபோல் தோள்நேராள் நின்று,𑀦𑁂𑀝𑀼𑀫𑀺𑀧𑀦𑁆𑀦𑁄𑀧𑁆𑀮𑀺 𑀢𑁆𑀴𑀺𑀦𑁃𑀭𑀸𑀴𑀺 𑀦𑀺𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼
ஒருவரைபோல் எங்கும் பல்வரையும் சூழ்ந்த,𑀒𑀭𑀼𑀯𑀭𑁄𑀧𑁆𑀮𑀺 𑀏𑀗𑀺𑀓𑀼𑀫𑀺 𑀧𑀮𑀺𑀯𑀭𑁄𑀬𑀼𑀫𑀺 𑀘𑀽𑀰𑀺𑀦𑀺𑀢
வருவரை யுள்ளதாம் சீறூர் வருவரையுள்,𑀯𑀭𑀼𑀯𑀭𑁄 𑀬𑀼𑀴𑀺𑀴𑀢𑀸𑀫𑀺 𑀘𑀻𑀭𑁆𑀭𑀽𑀭𑀺 𑀯𑀭𑀼𑀯𑀭𑁄𑀬𑀼𑀴𑀺
ஐவாய நாதும் புறமெல்லாம் ஆயுங்கால்,𑀑𑀯𑀸𑀬 𑀦𑀸𑀢𑀼𑀫𑀺 𑀧𑀼𑀭𑁆𑀭𑀫𑁂𑀮𑀺𑀮𑀸𑀫𑀺 𑀆𑀬𑀼𑀗𑀺𑀓𑀸𑀮𑀺
கைவாய நாதும்சேர் காடு,𑀓𑁄𑀯𑀸𑀬 𑀦𑀸𑀢𑀼𑀫𑀺𑀘𑁃𑀭𑀺 𑀓𑀸𑀝𑀼
வருக்கை வளமலையுள் மாதரும் யானும்,𑀯𑀭𑀼𑀓𑀺𑀓𑁄 𑀯𑀴𑀫𑀮𑁄𑀬𑀼𑀴𑀺 𑀫𑀸𑀢𑀭𑀼𑀫𑀺 𑀬𑀸𑀦𑁆𑀦𑀼𑀫𑀺
இருக்கை இதண்மேலே மாகப் பருக்கைக்,𑀇𑀭𑀼𑀓𑀺𑀓𑁄 𑀇𑀢𑀡𑀺𑀫𑁃𑀮𑁃 𑀫𑀸𑀓𑀧𑀺 𑀧𑀭𑀼𑀓𑀺𑀓𑁄𑀓𑀺
கடாஅமால் யானை கடிந்தானை அல்லால்,𑀓𑀝𑀸𑀅𑀫𑀸𑀮𑀺 𑀬𑀸𑀦𑁆𑀦𑁄 𑀓𑀝𑀺𑀦𑀺𑀢𑀸𑀦𑁆𑀦𑁄 𑀅𑀮𑀺𑀮𑀸𑀮𑀺
தொடாஅவால் என்தோழி தோள்,𑀢𑁅𑀝𑀸𑀅𑀯𑀸𑀮𑀺 𑀏𑀦𑁆𑀦𑀺𑀢𑁆𑀰𑀺 𑀢𑁆𑀴𑀺
வாடாத சான்றோர் வரவெதிர் கொண்டிராய்க்,𑀯𑀸𑀝𑀸𑀢 𑀘𑀸𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑁆𑀭𑀺 𑀯𑀭𑀯𑁂𑀢𑀺𑀭𑀺 𑀓𑁅𑀡𑀺𑀝𑀺𑀭𑀸𑀬𑀺𑀓𑀺
கோடாது நீர்கொடுப்பின் அல்லது கோடா,𑀓𑁆𑀝𑀸𑀢𑀼 𑀦𑀻𑀭𑀺𑀓𑁅𑀝𑀼𑀧𑀺𑀧𑀺𑀦𑁆𑀦𑀺 𑀅𑀮𑀺𑀮𑀢𑀼 𑀓𑁆𑀝𑀸
எழிலும் முலையும் இரண்டிற்கும் முந்நீர்ப்,𑀏𑀰𑀺𑀮𑀼𑀫𑀺 𑀫𑀼𑀮𑁄𑀬𑀼𑀫𑀺 𑀇𑀭𑀡𑀺𑀝𑀺𑀭𑁆𑀭𑀺𑀓𑀼𑀫𑀺 𑀫𑀼𑀦𑀺𑀦𑀻𑀭𑀺𑀧𑀺
பொழிலும் விலையாமோ போந்து,𑀧𑁅𑀰𑀺𑀮𑀼𑀫𑀺 𑀯𑀺𑀮𑁄𑀬𑀸𑀫𑁆 𑀧𑁆𑀦𑀺𑀢𑀼
நாள்நாகம் நாறும் நனைகுழலாள் நல்கித்தன்,𑀦𑀸𑀴𑀺𑀦𑀸𑀓𑀫𑀺 𑀦𑀸𑀭𑁆𑀭𑀼𑀫𑀺 𑀦𑀦𑁆𑀦𑁄𑀓𑀼𑀰𑀮𑀸𑀴𑀺 𑀦𑀮𑀺𑀓𑀺𑀢𑀺𑀢𑀦𑁆𑀦𑀺
பூண்ஆகம் நேர்வளவும் போகாது பூண்ஆகம்,𑀧𑀽𑀡𑀺𑀆𑀓𑀫𑀺 𑀦𑁃𑀭𑀺𑀯𑀴𑀯𑀼𑀫𑀺 𑀧𑁆𑀓𑀸𑀢𑀼 𑀧𑀽𑀡𑀺𑀆𑀓𑀫𑀺
என்றேன் இரண்டாவது உண்டோ மடல் மாமேல்,𑀏𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑁃𑀦𑁆𑀦𑀺 𑀇𑀭𑀡𑀺𑀝𑀸𑀯𑀢𑀼 𑀉𑀡𑀺𑀝𑁆 𑀫𑀝𑀮𑀺 𑀫𑀸𑀫𑁃𑀮𑀺
நின்றேண் மறுகிடையே நேர்ந்து,𑀦𑀺𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑁃𑀡𑀺 𑀫𑀭𑁆𑀭𑀼𑀓𑀺𑀝𑁄𑀬𑁃 𑀦𑁃𑀭𑀺𑀦𑀺𑀢𑀼
அறிகுஅவளை ஐய இடைம்மடவாய் ஆயச்,𑀅𑀭𑁆𑀭𑀺𑀓𑀼𑀅𑀯𑀴𑁄 𑀑𑀬 𑀇𑀝𑁄𑀫𑀺𑀫𑀝𑀯𑀸𑀬𑀺 𑀆𑀬𑀘𑀺
சிறிதவள்செல் வாள்இறுமென் றஞ்சிச் சிறிதவள்,𑀘𑀺𑀭𑁆𑀭𑀺𑀢𑀯𑀴𑀺𑀘𑁂𑀮𑀺 𑀯𑀸𑀴𑀺𑀇𑀭𑁆𑀭𑀼𑀫𑁂𑀦𑁆𑀦𑀺 𑀭𑁆𑀭𑀜𑀺𑀘𑀺𑀘𑀺 𑀘𑀺𑀭𑁆𑀭𑀺𑀢𑀯𑀴𑀺
நல்கும்வாய் காணாது நைந்துருகி என்நெஞ்சம்,𑀦𑀮𑀺𑀓𑀼𑀫𑀺𑀯𑀸𑀬𑀺 𑀓𑀸𑀡𑀸𑀢𑀼 𑀦𑁄𑀦𑀺𑀢𑀼𑀭𑀼𑀓𑀺 𑀏𑀦𑁆𑀦𑀺𑀦𑁂𑀜𑀺𑀘𑀫𑀺
ஒல்கும்வாய் ஒல்கல் உறும்,𑀒𑀮𑀺𑀓𑀼𑀫𑀺𑀯𑀸𑀬𑀺 𑀒𑀮𑀺𑀓𑀮𑀺 𑀉𑀭𑁆𑀭𑀼𑀫𑀺
என்னாங்கொல் ஈடில் இளவேங்கை நாளுரைப்பப்,𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀸𑀗𑀺𑀓𑁅𑀮𑀺 𑀈𑀝𑀺𑀮𑀺 𑀇𑀴𑀯𑁃𑀗𑀺𑀓𑁄 𑀦𑀸𑀴𑀼𑀭𑁄𑀧𑀺𑀧𑀧𑀺
பொன்னாம்போர் வேலவர் தாம்புரிந்த தென்னே,𑀧𑁅𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀸𑀫𑀺𑀧𑁆𑀭𑀺 𑀯𑁃𑀮𑀯𑀭𑀺 𑀢𑀸𑀫𑀺𑀧𑀼𑀭𑀺𑀦𑀺𑀢 𑀢𑁂𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑁃
மருவியா மாலை மலைநாடன் கேண்மை,𑀫𑀭𑀼𑀯𑀺𑀬𑀸 𑀫𑀸𑀮𑁄 𑀫𑀮𑁄𑀦𑀸𑀝𑀦𑁆𑀦𑀺 𑀓𑁃𑀡𑀺𑀫𑁄
இருவியாம் ஏனல் இனி,𑀇𑀭𑀼𑀯𑀺𑀬𑀸𑀫𑀺 𑀐𑀦𑁆𑀦𑀮𑀺 𑀇𑀦𑁆𑀦𑀺
பாலெத்த வெள்ளருவி பாய்ந்தாடிப் பல்பூப்பெய்,𑀧𑀸𑀮𑁂𑀢𑀺𑀢 𑀯𑁂𑀴𑀺𑀴𑀭𑀼𑀯𑀺 𑀧𑀸𑀬𑀺𑀦𑀺𑀢𑀸𑀝𑀺𑀧𑀺 𑀧𑀮𑀺𑀧𑀽𑀧𑀺𑀧𑁂𑀬𑀺
தாலொத்த ஐவனம் காப்பாள்கண் வேலொத்துஎன்,𑀢𑀸𑀮𑁅𑀢𑀺𑀢 𑀑𑀯𑀦𑁆𑀦𑀫𑀺 𑀓𑀸𑀧𑀺𑀧𑀸𑀴𑀺𑀓𑀡𑀺 𑀯𑁃𑀮𑁅𑀢𑀺𑀢𑀼𑀏𑀦𑁆𑀦𑀺
நெஞ்சம்வாய்ப் புக்குஒழிவு காண்பானோ காண்கொடா,𑀦𑁂𑀜𑀺𑀘𑀫𑀺𑀯𑀸𑀬𑀺𑀧𑀺 𑀧𑀼𑀓𑀺𑀓𑀼𑀒𑀰𑀺𑀯𑀼 𑀓𑀸𑀡𑀺𑀧𑀸𑀦𑁆𑀦𑁆 𑀓𑀸𑀡𑀺𑀓𑁅𑀝𑀸
அஞ்சாயற் கேநோவல் யான்,𑀅𑀜𑀺𑀘𑀸𑀬𑀭𑁆𑀭𑀺 𑀓𑁃𑀦𑁆𑀯𑀮𑀺 𑀬𑀸𑀦𑁆𑀦𑀺
நாள்வேங்கை பொன்விளையும் நன்மலை நன்னாட,𑀦𑀸𑀴𑀺𑀯𑁃𑀗𑀺𑀓𑁄 𑀧𑁅𑀦𑁆𑀦𑀺𑀯𑀺𑀴𑁄𑀬𑀼𑀫𑀺 𑀦𑀦𑁆𑀦𑀺𑀫𑀮𑁄 𑀦𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀸𑀝
கோள்வேங்கை போற்கொடியார் என்ஐயன்மார் கோள்வேங்கை,𑀓𑁆𑀴𑀺𑀯𑁃𑀗𑀺𑀓𑁄 𑀧𑁆𑀭𑁆𑀭𑀺𑀓𑁅𑀝𑀺𑀬𑀸𑀭𑀺 𑀏𑀦𑁆𑀦𑀺𑀑𑀬𑀦𑁆𑀦𑀺𑀫𑀸𑀭𑀺 𑀓𑁆𑀴𑀺𑀯𑁃𑀗𑀺𑀓𑁄
அன்னையால் நீயும் அருந்தழையாம் ஏலாமைக்கு,𑀅𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑁄𑀬𑀸𑀮𑀺 𑀦𑀻𑀬𑀼𑀫𑀺 𑀅𑀭𑀼𑀦𑀺𑀢𑀰𑁄𑀬𑀸𑀫𑀺 𑀐𑀮𑀸𑀫𑁄𑀓𑀺𑀓𑀼
என்னையோ நாளை எளிது,𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑁄𑀬𑁆 𑀦𑀸𑀴𑁄 𑀏𑀴𑀺𑀢𑀼
பொன்மெலியும் மேனியாள் பூஞ்சுணங்கு மென்முலைகள்,𑀧𑁅𑀦𑁆𑀦𑀺𑀫𑁂𑀮𑀺𑀬𑀼𑀫𑀺 𑀫𑁃𑀦𑁆𑀦𑀺𑀬𑀸𑀴𑀺 𑀧𑀽𑀜𑀺𑀘𑀼𑀡𑀗𑀺𑀓𑀼 𑀫𑁂𑀦𑁆𑀦𑀺𑀫𑀼𑀮𑁄𑀓𑀴𑀺
என்மெலிய வீங்கினவே பாவமென்று என்மெலிவிற்கு,𑀏𑀦𑁆𑀦𑀺𑀫𑁂𑀮𑀺𑀬 𑀯𑀻𑀗𑀺𑀓𑀺𑀦𑁆𑀦𑀯𑁃 𑀧𑀸𑀯𑀫𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼 𑀏𑀦𑁆𑀦𑀺𑀫𑁂𑀮𑀺𑀯𑀺𑀭𑁆𑀭𑀺𑀓𑀼
